annot	type	n_snp	tau	tau_se	tau_p	h2	h2_se	h2_p	h2s	h2s_se	h2s_p	h2_enrich	h2_enrich_se	h2_enrich_p	h2s_enrich	h2s_enrich_se	h2s_enrich_p	h2_shrink	h2_shrink_se	h2_shrink_p
AN:DHS_Trynka_common	binary	5816.0	-6.653403397649527e-05	0.00010822606418514624	0.5387072557058433	0.02888786792755127	0.5641316175460815	0.959160036953666	0.018659383058547974	0.571220338344574	0.9739410778060843	0.40772658586502075	1.5768357515335083	0.5196138965504269	0.5348484516143799	1.6339019536972046	0.5387072570969301	1.0871577	0.98794013	0.8033299497915164
AN:all_common	binary	31160.0	6.974231655476615e-05	3.717677100212313e-05	0.060660103277018824	1.9234237670898438	0.7541712522506714	0.010760536085632504	1.7862086296081543	1.0550594329833984	0.09045672837191467							0.9222015	0.31625274	0.8033316441682166
