annot	n_snp	p_causal	tau	h2	h2_enrich
AN:all_common	31160	0.9907252888318356	9.0986205e-06	0.7436179518699646	1.0
AN:DHS_Trynka_common	5816	0.9891678129298487	7.82011e-06	0.15185484290122986	1.0940869360058354
